"module name","license","repository"
"@aashutoshrathi/word-wrap@1.2.6","MIT","https://github.com/aashutoshrathi/word-wrap"
"@ampproject/remapping@2.2.1","Apache-2.0","https://github.com/ampproject/remapping"
"@babel/code-frame@7.23.5","MIT","https://github.com/babel/babel"
"@babel/compat-data@7.23.5","MIT","https://github.com/babel/babel"
"@babel/core@7.23.5","MIT","https://github.com/babel/babel"
"@babel/generator@7.23.5","MIT","https://github.com/babel/babel"
"@babel/helper-compilation-targets@7.22.15","MIT","https://github.com/babel/babel"
"@babel/helper-environment-visitor@7.22.20","MIT","https://github.com/babel/babel"
"@babel/helper-function-name@7.23.0","MIT","https://github.com/babel/babel"
"@babel/helper-hoist-variables@7.22.5","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.22.15","MIT","https://github.com/babel/babel"
"@babel/helper-module-transforms@7.23.3","MIT","https://github.com/babel/babel"
"@babel/helper-plugin-utils@7.22.5","MIT","https://github.com/babel/babel"
"@babel/helper-simple-access@7.22.5","MIT","https://github.com/babel/babel"
"@babel/helper-split-export-declaration@7.22.6","MIT","https://github.com/babel/babel"
"@babel/helper-string-parser@7.23.4","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.22.20","MIT","https://github.com/babel/babel"
"@babel/helper-validator-option@7.23.5","MIT","https://github.com/babel/babel"
"@babel/helpers@7.23.5","MIT","https://github.com/babel/babel"
"@babel/highlight@7.23.4","MIT","https://github.com/babel/babel"
"@babel/parser@7.23.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-react-jsx-self@7.23.3","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-react-jsx-source@7.23.3","MIT","https://github.com/babel/babel"
"@babel/template@7.22.15","MIT","https://github.com/babel/babel"
"@babel/traverse@7.23.5","MIT","https://github.com/babel/babel"
"@babel/types@7.23.5","MIT","https://github.com/babel/babel"
"@esbuild/win32-x64@0.19.8","MIT","https://github.com/evanw/esbuild"
"@eslint-community/eslint-utils@4.4.0","MIT","https://github.com/eslint-community/eslint-utils"
"@eslint-community/regexpp@4.10.0","MIT","https://github.com/eslint-community/regexpp"
"@eslint/eslintrc@2.1.3","MIT","https://github.com/eslint/eslintrc"
"@eslint/js@8.54.0","MIT","https://github.com/eslint/eslint"
"@humanwhocodes/config-array@0.11.13","Apache-2.0","https://github.com/humanwhocodes/config-array"
"@humanwhocodes/module-importer@1.0.1","Apache-2.0","https://github.com/humanwhocodes/module-importer"
"@humanwhocodes/object-schema@2.0.1","BSD-3-Clause","https://github.com/humanwhocodes/object-schema"
"@jridgewell/gen-mapping@0.3.3","MIT","https://github.com/jridgewell/gen-mapping"
"@jridgewell/resolve-uri@3.1.1","MIT","https://github.com/jridgewell/resolve-uri"
"@jridgewell/set-array@1.1.2","MIT","https://github.com/jridgewell/set-array"
"@jridgewell/source-map@0.3.5","MIT","https://github.com/jridgewell/source-map"
"@jridgewell/sourcemap-codec@1.4.15","MIT","https://github.com/jridgewell/sourcemap-codec"
"@jridgewell/trace-mapping@0.3.20","MIT","https://github.com/jridgewell/trace-mapping"
"@nodelib/fs.scandir@2.1.5","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.scandir"
"@nodelib/fs.stat@2.0.5","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.stat"
"@nodelib/fs.walk@1.2.8","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.walk"
"@remix-run/router@1.13.1","MIT","https://github.com/remix-run/react-router"
"@rollup/rollup-win32-x64-msvc@4.6.0","MIT","https://github.com/rollup/rollup"
"@types/babel__core@7.20.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/babel__generator@7.6.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/babel__template@7.4.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/babel__traverse@7.20.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node@20.10.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/prop-types@15.7.11","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-dom@18.2.17","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react@18.2.39","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/scheduler@0.16.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@ungap/structured-clone@1.2.0","ISC","https://github.com/ungap/structured-clone"
"@vitejs/plugin-react@4.2.0","MIT","https://github.com/vitejs/vite-plugin-react"
"abbrev@1.1.1","ISC","https://github.com/isaacs/abbrev-js"
"accepts@1.3.8","MIT","https://github.com/jshttp/accepts"
"acorn-jsx@5.3.2","MIT","https://github.com/acornjs/acorn-jsx"
"acorn@8.11.2","MIT","https://github.com/acornjs/acorn"
"ajv@6.12.6","MIT","https://github.com/ajv-validator/ajv"
"ansi-regex@5.0.1","MIT","https://github.com/chalk/ansi-regex"
"ansi-styles@3.2.1","MIT","https://github.com/chalk/ansi-styles"
"ansi-styles@4.3.0","MIT","https://github.com/chalk/ansi-styles"
"argparse@2.0.1","Python-2.0","https://github.com/nodeca/argparse"
"array-buffer-byte-length@1.0.0","MIT","https://github.com/inspect-js/array-buffer-byte-length"
"array-find-index@1.0.2","MIT","https://github.com/sindresorhus/array-find-index"
"array-flatten@1.1.1","MIT","https://github.com/blakeembrey/array-flatten"
"array-includes@3.1.7","MIT","https://github.com/es-shims/array-includes"
"array.prototype.flat@1.3.2","MIT","https://github.com/es-shims/Array.prototype.flat"
"array.prototype.flatmap@1.3.2","MIT","https://github.com/es-shims/Array.prototype.flatMap"
"array.prototype.tosorted@1.1.2","MIT","https://github.com/es-shims/Array.prototype.toSorted"
"arraybuffer.prototype.slice@1.0.2","MIT","https://github.com/es-shims/ArrayBuffer.prototype.slice"
"asap@2.0.6","MIT","https://github.com/kriskowal/asap"
"asynciterator.prototype@1.0.0","MIT","https://github.com/ljharb/AsyncIterator.prototype"
"asynckit@0.4.0","MIT","https://github.com/alexindigo/asynckit"
"available-typed-arrays@1.0.5","MIT","https://github.com/inspect-js/available-typed-arrays"
"axios@1.6.2","MIT","https://github.com/axios/axios"
"balanced-match@1.0.2","MIT","https://github.com/juliangruber/balanced-match"
"body-parser@1.20.1","MIT","https://github.com/expressjs/body-parser"
"brace-expansion@1.1.11","MIT","https://github.com/juliangruber/brace-expansion"
"browserslist@4.22.2","MIT","https://github.com/browserslist/browserslist"
"buffer-equal-constant-time@1.0.1","BSD-3-Clause","https://github.com/goinstant/buffer-equal-constant-time"
"buffer-from@1.1.2","MIT","https://github.com/LinusU/buffer-from"
"bytes@3.1.2","MIT","https://github.com/visionmedia/bytes.js"
"call-bind@1.0.5","MIT","https://github.com/ljharb/call-bind"
"callsites@3.1.0","MIT","https://github.com/sindresorhus/callsites"
"caniuse-lite@1.0.30001565","CC-BY-4.0","https://github.com/browserslist/caniuse-lite"
"chalk@2.4.2","MIT","https://github.com/chalk/chalk"
"chalk@4.1.2","MIT","https://github.com/chalk/chalk"
"color-convert@1.9.3","MIT","https://github.com/Qix-/color-convert"
"color-convert@2.0.1","MIT","https://github.com/Qix-/color-convert"
"color-name@1.1.3","MIT","https://github.com/dfcreative/color-name"
"color-name@1.1.4","MIT","https://github.com/colorjs/color-name"
"combined-stream@1.0.8","MIT","https://github.com/felixge/node-combined-stream"
"commander@2.20.3","MIT","https://github.com/tj/commander.js"
"concat-map@0.0.1","MIT","https://github.com/substack/node-concat-map"
"content-disposition@0.5.4","MIT","https://github.com/jshttp/content-disposition"
"content-type@1.0.5","MIT","https://github.com/jshttp/content-type"
"convert-source-map@2.0.0","MIT","https://github.com/thlorenz/convert-source-map"
"cookie-signature@1.0.6","MIT","https://github.com/visionmedia/node-cookie-signature"
"cookie@0.5.0","MIT","https://github.com/jshttp/cookie"
"cors@2.8.5","MIT","https://github.com/expressjs/cors"
"cross-spawn@7.0.3","MIT","https://github.com/moxystudio/node-cross-spawn"
"csstype@3.1.2","MIT","https://github.com/frenic/csstype"
"debug@2.6.9","MIT","https://github.com/visionmedia/debug"
"debug@3.2.7","MIT","https://github.com/visionmedia/debug"
"debug@4.3.4","MIT","https://github.com/debug-js/debug"
"debuglog@1.0.1","MIT","https://github.com/sam-github/node-debuglog"
"deep-is@0.1.4","MIT","https://github.com/thlorenz/deep-is"
"define-data-property@1.1.1","MIT","https://github.com/ljharb/define-data-property"
"define-properties@1.2.1","MIT","https://github.com/ljharb/define-properties"
"delayed-stream@1.0.0","MIT","https://github.com/felixge/node-delayed-stream"
"depd@2.0.0","MIT","https://github.com/dougwilson/nodejs-depd"
"destroy@1.2.0","MIT","https://github.com/stream-utils/destroy"
"dezalgo@1.0.4","ISC","https://github.com/npm/dezalgo"
"doctrine@2.1.0","Apache-2.0","https://github.com/eslint/doctrine"
"doctrine@3.0.0","Apache-2.0","https://github.com/eslint/doctrine"
"dotenv@16.3.1","BSD-2-Clause","https://github.com/motdotla/dotenv"
"ecdsa-sig-formatter@1.0.11","Apache-2.0","https://github.com/Brightspace/node-ecdsa-sig-formatter"
"ee-first@1.1.1","MIT","https://github.com/jonathanong/ee-first"
"electron-to-chromium@1.4.609","ISC","https://github.com/kilian/electron-to-chromium"
"encodeurl@1.0.2","MIT","https://github.com/pillarjs/encodeurl"
"es-abstract@1.22.3","MIT","https://github.com/ljharb/es-abstract"
"es-iterator-helpers@1.0.15","MIT","https://github.com/es-shims/iterator-helpers"
"es-set-tostringtag@2.0.2","MIT","https://github.com/es-shims/es-set-tostringtag"
"es-shim-unscopables@1.0.2","MIT","https://github.com/ljharb/es-shim-unscopables"
"es-to-primitive@1.2.1","MIT","https://github.com/ljharb/es-to-primitive"
"esbuild@0.19.8","MIT","https://github.com/evanw/esbuild"
"escalade@3.1.1","MIT","https://github.com/lukeed/escalade"
"escape-html@1.0.3","MIT","https://github.com/component/escape-html"
"escape-string-regexp@1.0.5","MIT","https://github.com/sindresorhus/escape-string-regexp"
"escape-string-regexp@4.0.0","MIT","https://github.com/sindresorhus/escape-string-regexp"
"eslint-plugin-react-hooks@4.6.0","MIT","https://github.com/facebook/react"
"eslint-plugin-react-refresh@0.4.4","MIT","https://github.com/ArnaudBarre/eslint-plugin-react-refresh"
"eslint-plugin-react@7.33.2","MIT","https://github.com/jsx-eslint/eslint-plugin-react"
"eslint-scope@7.2.2","BSD-2-Clause","https://github.com/eslint/eslint-scope"
"eslint-visitor-keys@3.4.3","Apache-2.0","https://github.com/eslint/eslint-visitor-keys"
"eslint@8.54.0","MIT","https://github.com/eslint/eslint"
"espree@9.6.1","BSD-2-Clause","https://github.com/eslint/espree"
"esquery@1.5.0","BSD-3-Clause","https://github.com/estools/esquery"
"esrecurse@4.3.0","BSD-2-Clause","https://github.com/estools/esrecurse"
"estraverse@5.3.0","BSD-2-Clause","https://github.com/estools/estraverse"
"esutils@2.0.3","BSD-2-Clause","https://github.com/estools/esutils"
"etag@1.8.1","MIT","https://github.com/jshttp/etag"
"express@4.18.2","MIT","https://github.com/expressjs/express"
"fast-deep-equal@3.1.3","MIT","https://github.com/epoberezkin/fast-deep-equal"
"fast-json-stable-stringify@2.1.0","MIT","https://github.com/epoberezkin/fast-json-stable-stringify"
"fast-levenshtein@2.0.6","MIT","https://github.com/hiddentao/fast-levenshtein"
"fastq@1.15.0","ISC","https://github.com/mcollina/fastq"
"file-entry-cache@6.0.1","MIT","https://github.com/royriojas/file-entry-cache"
"finalhandler@1.2.0","MIT","https://github.com/pillarjs/finalhandler"
"find-up@5.0.0","MIT","https://github.com/sindresorhus/find-up"
"flat-cache@3.2.0","MIT","https://github.com/jaredwray/flat-cache"
"flatted@3.2.9","ISC","https://github.com/WebReflection/flatted"
"follow-redirects@1.15.5","MIT","https://github.com/follow-redirects/follow-redirects"
"for-each@0.3.3","MIT","https://github.com/Raynos/for-each"
"form-data@4.0.0","MIT","https://github.com/form-data/form-data"
"forwarded@0.2.0","MIT","https://github.com/jshttp/forwarded"
"fresh@0.5.2","MIT","https://github.com/jshttp/fresh"
"fs.realpath@1.0.0","ISC","https://github.com/isaacs/fs.realpath"
"function-bind@1.1.2","MIT","https://github.com/Raynos/function-bind"
"function.prototype.name@1.1.6","MIT","https://github.com/es-shims/Function.prototype.name"
"functions-have-names@1.2.3","MIT","https://github.com/inspect-js/functions-have-names"
"gensync@1.0.0-beta.2","MIT","https://github.com/loganfsmyth/gensync"
"get-intrinsic@1.2.2","MIT","https://github.com/ljharb/get-intrinsic"
"get-symbol-description@1.0.0","MIT","https://github.com/inspect-js/get-symbol-description"
"glob-parent@6.0.2","ISC","https://github.com/gulpjs/glob-parent"
