"module name","license","repository"
"@aashutoshrathi/word-wrap@1.2.6","MIT","https://github.com/aashutoshrathi/word-wrap"
"@ampproject/remapping@2.2.1","Apache-2.0","https://github.com/ampproject/remapping"
"@babel/code-frame@7.22.13","MIT","https://github.com/babel/babel"
"@babel/compat-data@7.22.20","MIT","https://github.com/babel/babel"
"@babel/core@7.23.0","MIT","https://github.com/babel/babel"
"@babel/generator@7.23.0","MIT","https://github.com/babel/babel"
"@babel/helper-compilation-targets@7.22.15","MIT","https://github.com/babel/babel"
"@babel/helper-environment-visitor@7.22.20","MIT","https://github.com/babel/babel"
"@babel/helper-function-name@7.23.0","MIT","https://github.com/babel/babel"
"@babel/helper-hoist-variables@7.22.5","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.22.15","MIT","https://github.com/babel/babel"
"@babel/helper-module-transforms@7.23.0","MIT","https://github.com/babel/babel"
"@babel/helper-plugin-utils@7.22.5","MIT","https://github.com/babel/babel"
"@babel/helper-simple-access@7.22.5","MIT","https://github.com/babel/babel"
"@babel/helper-split-export-declaration@7.22.6","MIT","https://github.com/babel/babel"
"@babel/helper-string-parser@7.22.5","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.22.20","MIT","https://github.com/babel/babel"
"@babel/helper-validator-option@7.22.15","MIT","https://github.com/babel/babel"
"@babel/helpers@7.23.1","MIT","https://github.com/babel/babel"
"@babel/highlight@7.22.20","MIT","https://github.com/babel/babel"
"@babel/parser@7.23.0","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-react-jsx-self@7.22.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-react-jsx-source@7.22.5","MIT","https://github.com/babel/babel"
"@babel/runtime@7.23.2","MIT","https://github.com/babel/babel"
"@babel/template@7.22.15","MIT","https://github.com/babel/babel"
"@babel/traverse@7.23.0","MIT","https://github.com/babel/babel"
"@babel/types@7.23.0","MIT","https://github.com/babel/babel"
"@esbuild/darwin-arm64@0.18.20","MIT","https://github.com/evanw/esbuild"
"@eslint-community/eslint-utils@4.4.0","MIT","https://github.com/eslint-community/eslint-utils"
"@eslint-community/regexpp@4.9.1","MIT","https://github.com/eslint-community/regexpp"
"@eslint/eslintrc@2.1.2","MIT","https://github.com/eslint/eslintrc"
"@eslint/js@8.51.0","MIT","https://github.com/eslint/eslint"
"@humanwhocodes/config-array@0.11.11","Apache-2.0","https://github.com/humanwhocodes/config-array"
"@humanwhocodes/module-importer@1.0.1","Apache-2.0","https://github.com/humanwhocodes/module-importer"
"@humanwhocodes/object-schema@1.2.1","BSD-3-Clause","https://github.com/humanwhocodes/object-schema"
"@jridgewell/gen-mapping@0.3.3","MIT","https://github.com/jridgewell/gen-mapping"
"@jridgewell/resolve-uri@3.1.1","MIT","https://github.com/jridgewell/resolve-uri"
"@jridgewell/set-array@1.1.2","MIT","https://github.com/jridgewell/set-array"
"@jridgewell/sourcemap-codec@1.4.15","MIT","https://github.com/jridgewell/sourcemap-codec"
"@jridgewell/trace-mapping@0.3.19","MIT","https://github.com/jridgewell/trace-mapping"
"@nodelib/fs.scandir@2.1.5","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.scandir"
"@nodelib/fs.stat@2.0.5","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.stat"
"@nodelib/fs.walk@1.2.8","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.walk"
"@popperjs/core@2.11.8","MIT","https://github.com/popperjs/popper-core"
"@react-aria/ssr@3.9.0","Apache-2.0","https://github.com/adobe/react-spectrum"
"@restart/hooks@0.4.11","MIT","https://github.com/jquense/react-common-hooks"
"@restart/ui@1.6.6","MIT","https://github.com/react-restart/ui"
"@swc/helpers@0.5.3","Apache-2.0","https://github.com/swc-project/swc"
"@types/babel__core@7.20.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/babel__generator@7.6.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/babel__template@7.4.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/babel__traverse@7.20.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/prop-types@15.7.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-dom@18.2.12","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-transition-group@4.4.9","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react@18.2.27","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/scheduler@0.16.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/warning@3.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@vitejs/plugin-react@4.1.0","MIT","https://github.com/vitejs/vite-plugin-react"
"abbrev@1.1.1","ISC","https://github.com/isaacs/abbrev-js"
"acorn-jsx@5.3.2","MIT","https://github.com/acornjs/acorn-jsx"
"acorn@8.10.0","MIT","https://github.com/acornjs/acorn"
"ajv@6.12.6","MIT","https://github.com/ajv-validator/ajv"
"ansi-regex@5.0.1","MIT","https://github.com/chalk/ansi-regex"
"ansi-styles@3.2.1","MIT","https://github.com/chalk/ansi-styles"
"ansi-styles@4.3.0","MIT","https://github.com/chalk/ansi-styles"
"anymatch@3.1.3","ISC","https://github.com/micromatch/anymatch"
"argparse@2.0.1","Python-2.0","https://github.com/nodeca/argparse"
"array-buffer-byte-length@1.0.0","MIT","https://github.com/inspect-js/array-buffer-byte-length"
"array-find-index@1.0.2","MIT","https://github.com/sindresorhus/array-find-index"
"array-includes@3.1.7","MIT","https://github.com/es-shims/array-includes"
"array.prototype.flat@1.3.2","MIT","https://github.com/es-shims/Array.prototype.flat"
"array.prototype.flatmap@1.3.2","MIT","https://github.com/es-shims/Array.prototype.flatMap"
"array.prototype.tosorted@1.1.2","MIT","https://github.com/es-shims/Array.prototype.toSorted"
"arraybuffer.prototype.slice@1.0.2","MIT","https://github.com/es-shims/ArrayBuffer.prototype.slice"
"asap@2.0.6","MIT","https://github.com/kriskowal/asap"
"asynciterator.prototype@1.0.0","MIT","https://github.com/ljharb/AsyncIterator.prototype"
"available-typed-arrays@1.0.5","MIT","https://github.com/inspect-js/available-typed-arrays"
"balanced-match@1.0.2","MIT","https://github.com/juliangruber/balanced-match"
"binary-extensions@2.2.0","MIT","https://github.com/sindresorhus/binary-extensions"
"bootstrap@5.3.2","MIT","https://github.com/twbs/bootstrap"
"brace-expansion@1.1.11","MIT","https://github.com/juliangruber/brace-expansion"
"braces@3.0.2","MIT","https://github.com/micromatch/braces"
"browserslist@4.22.1","MIT","https://github.com/browserslist/browserslist"
"call-bind@1.0.2","MIT","https://github.com/ljharb/call-bind"
"callsites@3.1.0","MIT","https://github.com/sindresorhus/callsites"
"caniuse-lite@1.0.30001547","CC-BY-4.0","https://github.com/browserslist/caniuse-lite"
"chalk@2.4.2","MIT","https://github.com/chalk/chalk"
"chalk@4.1.2","MIT","https://github.com/chalk/chalk"
"chokidar@3.5.3","MIT","https://github.com/paulmillr/chokidar"
"classnames@2.3.2","MIT","https://github.com/JedWatson/classnames"
"color-convert@1.9.3","MIT","https://github.com/Qix-/color-convert"
"color-convert@2.0.1","MIT","https://github.com/Qix-/color-convert"
"color-name@1.1.3","MIT","https://github.com/dfcreative/color-name"
"color-name@1.1.4","MIT","https://github.com/colorjs/color-name"
"concat-map@0.0.1","MIT","https://github.com/substack/node-concat-map"
"convert-source-map@2.0.0","MIT","https://github.com/thlorenz/convert-source-map"
"cross-spawn@7.0.3","MIT","https://github.com/moxystudio/node-cross-spawn"
"csstype@3.1.2","MIT","https://github.com/frenic/csstype"
"debug@3.2.7","MIT","https://github.com/visionmedia/debug"
"debug@4.3.4","MIT","https://github.com/debug-js/debug"
"debuglog@1.0.1","MIT","https://github.com/sam-github/node-debuglog"
"deep-is@0.1.4","MIT","https://github.com/thlorenz/deep-is"
"define-data-property@1.1.0","MIT","https://github.com/ljharb/define-data-property"
"define-properties@1.2.1","MIT","https://github.com/ljharb/define-properties"
"dequal@2.0.3","MIT","https://github.com/lukeed/dequal"
"dezalgo@1.0.4","ISC","https://github.com/npm/dezalgo"
"dns-zone-manager-ui@0.0.1","UNLICENSED",""
"doctrine@2.1.0","Apache-2.0","https://github.com/eslint/doctrine"
"doctrine@3.0.0","Apache-2.0","https://github.com/eslint/doctrine"
"dom-helpers@5.2.1","MIT","https://github.com/react-bootstrap/dom-helpers"
"electron-to-chromium@1.4.548","ISC","https://github.com/kilian/electron-to-chromium"
"es-abstract@1.22.2","MIT","https://github.com/ljharb/es-abstract"
"es-iterator-helpers@1.0.15","MIT","https://github.com/es-shims/iterator-helpers"
"es-set-tostringtag@2.0.1","MIT","https://github.com/es-shims/es-set-tostringtag"
"es-shim-unscopables@1.0.0","MIT","https://github.com/ljharb/es-shim-unscopables"
"es-to-primitive@1.2.1","MIT","https://github.com/ljharb/es-to-primitive"
"esbuild@0.18.20","MIT","https://github.com/evanw/esbuild"
"escalade@3.1.1","MIT","https://github.com/lukeed/escalade"
"escape-string-regexp@1.0.5","MIT","https://github.com/sindresorhus/escape-string-regexp"
"escape-string-regexp@4.0.0","MIT","https://github.com/sindresorhus/escape-string-regexp"
"eslint-plugin-react-hooks@4.6.0","MIT","https://github.com/facebook/react"
"eslint-plugin-react-refresh@0.4.3","MIT","https://github.com/ArnaudBarre/eslint-plugin-react-refresh"
"eslint-plugin-react@7.33.2","MIT","https://github.com/jsx-eslint/eslint-plugin-react"
"eslint-scope@7.2.2","BSD-2-Clause","https://github.com/eslint/eslint-scope"
"eslint-visitor-keys@3.4.3","Apache-2.0","https://github.com/eslint/eslint-visitor-keys"
"eslint@8.51.0","MIT","https://github.com/eslint/eslint"
"espree@9.6.1","BSD-2-Clause","https://github.com/eslint/espree"
"esquery@1.5.0","BSD-3-Clause","https://github.com/estools/esquery"
"esrecurse@4.3.0","BSD-2-Clause","https://github.com/estools/esrecurse"
"estraverse@5.3.0","BSD-2-Clause","https://github.com/estools/estraverse"
"esutils@2.0.3","BSD-2-Clause","https://github.com/estools/esutils"
"fast-deep-equal@3.1.3","MIT","https://github.com/epoberezkin/fast-deep-equal"
"fast-json-stable-stringify@2.1.0","MIT","https://github.com/epoberezkin/fast-json-stable-stringify"
"fast-levenshtein@2.0.6","MIT","https://github.com/hiddentao/fast-levenshtein"
"fastq@1.15.0","ISC","https://github.com/mcollina/fastq"
"file-entry-cache@6.0.1","MIT","https://github.com/royriojas/file-entry-cache"
"fill-range@7.0.1","MIT","https://github.com/jonschlinkert/fill-range"
"find-up@5.0.0","MIT","https://github.com/sindresorhus/find-up"
"flat-cache@3.1.1","MIT","https://github.com/jaredwray/flat-cache"
"flatted@3.2.9","ISC","https://github.com/WebReflection/flatted"
"for-each@0.3.3","MIT","https://github.com/Raynos/for-each"
"fs.realpath@1.0.0","ISC","https://github.com/isaacs/fs.realpath"
"fsevents@2.3.3","MIT","https://github.com/fsevents/fsevents"
"function-bind@1.1.1","MIT","https://github.com/Raynos/function-bind"
"function.prototype.name@1.1.6","MIT","https://github.com/es-shims/Function.prototype.name"
"functions-have-names@1.2.3","MIT","https://github.com/inspect-js/functions-have-names"
"gensync@1.0.0-beta.2","MIT","https://github.com/loganfsmyth/gensync"
"get-intrinsic@1.2.1","MIT","https://github.com/ljharb/get-intrinsic"
"get-symbol-description@1.0.0","MIT","https://github.com/inspect-js/get-symbol-description"
"glob-parent@5.1.2","ISC","https://github.com/gulpjs/glob-parent"
"glob-parent@6.0.2","ISC","https://github.com/gulpjs/glob-parent"
"glob@7.2.3","ISC","https://github.com/isaacs/node-glob"
"globals@11.12.0","MIT","https://github.com/sindresorhus/globals"
"globals@13.23.0","MIT","https://github.com/sindresorhus/globals"
"globalthis@1.0.3","MIT","https://github.com/ljharb/System.global"
"gopd@1.0.1","MIT","https://github.com/ljharb/gopd"
"graceful-fs@4.2.11","ISC","https://github.com/isaacs/node-graceful-fs"
"graphemer@1.4.0","MIT","https://github.com/flmnt/graphemer"
"has-bigints@1.0.2","MIT","https://github.com/ljharb/has-bigints"
"has-flag@3.0.0","MIT","https://github.com/sindresorhus/has-flag"
"has-flag@4.0.0","MIT","https://github.com/sindresorhus/has-flag"
"has-property-descriptors@1.0.0","MIT","https://github.com/inspect-js/has-property-descriptors"
"has-proto@1.0.1","MIT","https://github.com/inspect-js/has-proto"
"has-symbols@1.0.3","MIT","https://github.com/inspect-js/has-symbols"
"has-tostringtag@1.0.0","MIT","https://github.com/inspect-js/has-tostringtag"
"has@1.0.4","MIT","https://github.com/tarruda/has"
"hosted-git-info@2.8.9","ISC","https://github.com/npm/hosted-git-info"
